admin1_name,scenario,timeframe,vop_total_M,any,dry,dry+heat,dry+heat+wet,dry+wet,heat,heat+wet,no hazard,wet
Bungoma,historic,historic,21.6,2.1,0,0,0,0,0,0,97.9,2.1
Bungoma,ssp585,2041_2060,21.6,3.3,0,0,0,0,0,0,96.7,3.3
Meru,historic,historic,21.8,92.5,91.4,1.1,0,0,0,0,7.5,0
Meru,ssp585,2041_2060,21.8,92.4,87.5,4.9,0,0,0.1,0,7.6,0
Nandi,historic,historic,11.6,2.5,0.1,0,0,0,0,0,97.5,2.4
Nandi,ssp585,2041_2060,11.6,2.9,0,0,0,0,0,0,97.1,2.8
Narok,historic,historic,22.6,37.9,37.9,0,0,0,0,0,62.1,0
Narok,ssp585,2041_2060,22.6,35,35,0,0,0,0,0,65,0
