item_code,item,parent_raw_item_code,parent_raw_item,commodity_class,include
260,Olives,,,crop,TRUE
261,Olive oil,,,crop,TRUE
262,Olives preserved,,,crop,TRUE
263,Karite nuts (sheanuts),,,crop,TRUE
265,Castor oil seeds,,,crop,TRUE
266,Oil of castor beans,,,byproduct,FALSE
267,Sunflower seed,,,crop,TRUE
268,"Sunflower-seed oil, crude",268,"Sunflower-seed oil, crude",byproduct,TRUE
269,Cake of sunflower seed,267,Sunflower seed,byproduct,TRUE
270,Rape or colza seed,,,crop,TRUE
271,"Rapeseed or canola oil, crude",271,"Rapeseed or canola oil, crude",byproduct,TRUE
272,Cake of rapeseed,271,"Rapeseed or canola oil, crude",byproduct,TRUE
273,Olive residues,,,crop,TRUE
274,Oil of olive residues,273,Olive residues,byproduct,TRUE
275,Tung nuts,,,crop,TRUE
276,Oil of tung nuts,275,Tung nuts,byproduct,TRUE
278,Jojoba oil,,,crop,TRUE
280,Safflower seed,,,crop,TRUE
281,"Safflower-seed oil, crude",281,"Safflower-seed oil, crude",byproduct,TRUE
282,Cake of safflowerseed,,,byproduct,FALSE
289,Sesame seed,,,crop,TRUE
290,Oil of sesame seed,289,Sesame seed,byproduct,TRUE
291,Cake of sesame seed,289,Sesame seed,byproduct,TRUE
292,Mustard seed,,,crop,TRUE
293,"Mustard seed oil, crude",292,Mustard seed,byproduct,TRUE
294,Cake of mustard seed,292,Mustard seed,byproduct,TRUE
295,Flour of mustard seed,292,Mustard seed,byproduct,TRUE
296,Poppy seed,,,crop,TRUE
299,Melonseed,,,crop,TRUE
328,"Seed cotton, unginned",,,crop,TRUE
329,Cotton seed,,,crop,TRUE
331,Cottonseed oil,,,crop,TRUE
332,Cake of cottonseed,331,Cottonseed oil,byproduct,TRUE
333,Linseed,,,crop,TRUE
334,Oil of linseed,333,Linseed,byproduct,TRUE
335,Cake of linseed,333,Linseed,byproduct,TRUE
336,Hempseed,,,crop,TRUE
341,"Cake, oilseeds nes",,,crop,TRUE
343,"Flours and meals of oil seeds or oleaginous fruits, except those of mustard",,,crop,FALSE
358,Cabbages,,,crop,TRUE
366,Artichokes,,,crop,TRUE
367,Asparagus,,,crop,TRUE
372,Lettuce and chicory,,,crop,TRUE
373,Spinach,,,crop,TRUE
378,Cassava leaves,,,crop,TRUE
388,Tomatoes,,,crop,TRUE
390,Tomato juice,388,Tomatoes,byproduct,TRUE
391,Paste of tomatoes,,,crop,TRUE
392,"Tomatoes, peeled (o/t vinegar)",,,crop,TRUE
393,Cauliflowers and broccoli,,,crop,TRUE
394,"Pumpkins, squash and gourds",,,crop,TRUE
397,Cucumbers and gherkins,,,crop,TRUE
