"","disputed_gaul0","disputed_name","claimant_iso3","claimant_gaul0","disputed_ncells","claimant_ncells"
"1",100,"Abyei","SSD",160,334,20644
"2",100,"Abyei","SDN",161,334,62399
"3",110,"Bīr Ṭawīl","EGY",120,68,35570
"4",110,"Bīr Ṭawīl","SDN",161,68,62399
"5",133,"Hala'Ib","EGY",120,631,35570
"6",133,"Hala'Ib","SDN",161,631,62399
"7",135,"Ilemi","KEN",137,108,18793
"8",135,"Ilemi","SSD",160,108,20644
