admin0_name,admin1_name,severity,vop_total,exp_hist,exp_2050,d_pp,yw_base,yw_pct,irr_pct
Angola,Bengo,extreme,2059561.86,17.0878577058132,12.3624351831802,-4.72542252263304,6.8807547963163,-9.57699301697043,-12.0166113878699
Angola,Benguela,extreme,56688601.81,8.15530080543364,6.9581024651488,-1.19719834028484,8.6384101869653,-11.8465998596671,-11.6550901400813
Angola,Bié,extreme,110304020.24,0,0,0,12.8642194840333,-11.0280758023755,-11.8758808537893
Angola,Cabinda,extreme,1521047.87,0.900037419598109,1.46556860172981,0.565531182131697,6.00976371628153,-10.2906761934207,-13.6638462104189
Angola,Cuando Cubango,extreme,13007339.26,16.7962098652911,21.45033618505,4.65412631975896,9.36364508249391,-19.6249699393988,-13.7338138803382
Angola,Cuanza Norte,extreme,3872931.93,1.91103281280753,1.41938977997994,-0.491643032827587,7.47722513176634,-6.00126589179943,-11.226489813381
Angola,Cuanza Sul,extreme,116009662.76,2.83921780448076,2.11976394163599,-0.719453862844761,11.1142107908446,-9.64654030402899,-11.0174103535433
Angola,Cunene,extreme,1005926.13,56.2996608906064,65.3374020615212,9.03774117091481,5.99161570352971,-27.6889708749242,-16.1369773355582
Angola,Huambo,extreme,179242574.38,0,0,0,13.2914362036641,-12.5083259542426,-12.1203163068717
Angola,Huíla,extreme,52822104.84,5.21544154354452,7.51453962696728,2.29909808342276,10.7234636638666,-15.8994653725012,-11.8866383969851
Angola,Luanda,extreme,4005576.71,24.6391486533284,19.1664036313013,-5.47274502202705,2.29462671184261,6.03124699128433,-12.6335037340763
Angola,Lunda Norte,extreme,5459858.79,0,0,0,9.59493168442222,-11.6741752633888,-12.258220316976
Angola,Lunda Sul,extreme,8911464.04,0,0,0,9.89835715386608,-12.2136674409436,-12.8441298792109
Angola,Malanje,extreme,25012185.74,0,0,0,9.42695592131008,-8.50381969700517,-10.5607777828368
Angola,Moxico,extreme,13409451.62,0.23035244747764,0.630928112480114,0.400575665002474,9.56521775614008,-14.1673987024081,-12.4576404166303
Angola,Namibe,extreme,4245194.71,35.5941741951337,33.9450390015209,-1.64913519361283,6.88562440445712,-17.9448673314216,-12.5676535346699
Angola,Uíge,extreme,11512517.92,0,0,0,9.8593105282549,-8.85712958017883,-11.0325371602026
Angola,Zaire,extreme,2633355.13,1.79987117802831,1.94250290882719,0.142631730798876,7.70290173489492,-10.7921758854859,-11.8907566436391
Benin,Alibori,extreme,62770402.82,0.466743858311916,12.3057613986489,11.839017540337,6.64460494847343,-20.9939488201042,-14.3814338479608
Benin,Atlantique,extreme,26821227.62,0,0,0,7.19625056014884,-21.7327772191145,-17.0434706548525
Benin,Borgou,extreme,55548025.48,0,0,0,8.38509163802496,-19.1089146025158,-16.9799401660402
Benin,Collines,extreme,27942571.04,0,0,0,8.01259561755781,-19.5013337581258,-18.5606991150744
Benin,Couffo,extreme,25956634.48,0,0,0,7.21925969842745,-21.9563742446417,-17.0475686845507
Benin,Donga,extreme,14595412.79,0,0,0,8.67985818922519,-18.6967312369674,-17.6526540308334
Benin,Mono,extreme,12577620.2,0,0,0,7.21925969842745,-21.9563742446417,-17.0475686845507
Benin,Oueme,extreme,13144815.43,0,0,0,6.32618277710365,-12.0840576290687,-16.8916432747134
Benin,Plateau,extreme,49063430.51,0,0,0,7.21033204275435,-21.7522037879647,-17.0437806999108
Benin,Zou,extreme,18158588.64,0,0,0,7.21925969842745,-21.9563742446417,-17.0475686845507
Botswana,Central,extreme,189736.82,90.5506901612455,88.1694970960302,-2.38119306521529,4.98867517669558,-11.4042730882295,-15.113142932764
Botswana,Chobe,extreme,200919.46,59.2341826919105,62.2448417888442,3.01065909693367,6.48272068284152,-27.5227797346103,-17.42304267315
Botswana,Gaborone,extreme,133552.81,94.6996173274078,92.3664578828405,-2.33315944456729,4.13531769169053,-15.7875618461384,-15.8958833085075
Botswana,Kweneng,extreme,188341.31,99.6440982596967,97.2479165616932,-2.39618169800347,4.15925236306059,-13.3242331858067,-17.0111088583296
Botswana,North East,extreme,178667.75,81.848011182768,80.3312293348968,-1.51678184787126,5.27072926308317,-11.2243904155488,-14.241709707424
